N,method,p25_pct,median_pct,p75_pct,found_frac
1000,z,8.200000000000001,10.4,14.75,0.9266666666666666
2000,z,5.4,7.3999999999999995,10.4,1.0
3000,z,4.8,6.4,8.200000000000001,1.0
5000,z,3.8,5.4,7.000000000000001,1.0
10000,z,2.6,3.6000000000000005,4.8,1.0
20000,z,1.95,2.4,3.4000000000000004,1.0
1000,bootstrap,8.4,11.200000000000001,14.799999999999999,0.9166666666666666
2000,bootstrap,6.0,8.4,11.600000000000001,1.0
3000,bootstrap,5.2,6.800000000000001,9.3,1.0
5000,bootstrap,4.0,5.2,8.0,1.0
10000,bootstrap,2.8000000000000003,3.6000000000000005,5.2,1.0
20000,bootstrap,2.0,2.8000000000000003,3.6000000000000005,1.0
